house_floor,city,house_area,fee,house_used,estate,m2_price,street_name,house_style,property_right,field,total_price,house_decoration,sele_power,house_direction,build_area,room_link
高楼层 (共11层),济南,暂无数据,,满五年,湖光山色家园,17256yuan/m2,三孔桥,2室2厅1厨1卫,有,天桥,165w,简装,"
                    此房满五唯一，南北通透，视野开阔，配套设施完善，交通便利
                  ",南 北,95.62㎡,https://jn.lianjia.com/ershoufang/103101079837.html
中楼层 (共33层),重庆,73㎡,,满五年,奥林匹克花园红城,12644yuan/m2,汽博中心,2室2厅1厨1卫,50年,渝北,110w,精装,"
                    装修两房，风格清新，适合居家，拎包入住！
                  ",北,87㎡,https://cq.lianjia.com/ershoufang/106100678273.html
高楼层 (共18层),济南,77.25㎡,,满五年,阳光100国际新城G区,21277yuan/m2,阳光100区,2室2厅1厨1卫,有,槐荫,200w,精装,"
                    此房是2008年的房子 比较新 房子户型方正 纯南向 采光好 餐客一体 客厅带南窗 面积大 南边无遮挡 视野好 两个卧室朝南 主卧带阳台 使用方便 厨房和卫生间面积较大 
                  ",南,94㎡,https://jn.lianjia.com/ershoufang/103101547416.html
低楼层 (共24层),重庆,119.62㎡,,满两年,融创御锦,12734yuan/m2,汽博中心,4室2厅1厨2卫,50年,渝北,185w,其他,"
                                              ",东,145.29㎡,https://cq.lianjia.com/ershoufang/106100730860.html
中楼层 (共6层),重庆,130.48㎡,,满两年,中渝梧桐郡B区,17591yuan/m2,龙头寺,3室2厅1厨2卫,50年,渝北,260w,其他,"
                                              ",南,147.81㎡,https://cq.lianjia.com/ershoufang/106100694844.html
低楼层 (共3层),重庆,224.84㎡,,满五年,复地别院,12798yuan/m2,鸳鸯,5室2厅1厨4卫,50年,渝北,332w,精装,"
                    此房自带独立产权车库，叠拼端头户型，总共三层。
                  ",东北,259.42㎡,https://cq.lianjia.com/ershoufang/106100222244.html
中楼层 (共33层),惠州,76.12㎡,,满五年,花样年别样城二期,10495yuan/m2,淡水,3室2厅1厨1卫,70年,惠阳,100w,毛坯,"
                    朝南，户型方正，高赠送双阳台，此房满五唯一税费很少，
                  ",南,95.29㎡,https://hui.lianjia.com/ershoufang/105100941500.html
低楼层 (共16层),济南,134.73㎡,,满五年,舜景花园,15995yuan/m2,无影山,3室2厅1厨2卫,有,天桥,249w,精装,"
                    房主诚心出售，房本满五年唯一住房，南北向通风好。双气地暖。
                  ",南 北,155.68㎡,https://jn.lianjia.com/ershoufang/103101783534.html
高楼层 (共29层),惠州,98.79㎡,,满两年,诚杰壹中心,12858yuan/m2,淡水,4室2厅1厨2卫,70年,惠阳,158w,毛坯,"
                    房子已经满两年可免增值税 是诚杰最 优的户型之一 南北通透
                  ",南,122.89㎡,https://hui.lianjia.com/ershoufang/105100941142.html
高楼层 (共9层),惠州,74.67㎡,,满五年,峰景湾,8486yuan/m2,大亚湾西区,3室2厅1厨2卫,70年,大亚湾,74w,其他,"
                    距离沿海高速澳头出入口开车五分 钟 去深圳方便 后面是大亚湾科技园 走路三分 钟 坐公交方便 周 边商 业配套很齐全 到即将开业的万达广场开车只需要十分 钟左右
                  ",南,87.21㎡,https://hui.lianjia.com/ershoufang/105101059121.html
高楼层 (共22层),惠州,67.23㎡,,满两年,君悦豪庭,9998yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,86w,其他,"
                    惠州自由自宅一期占地8710平米，建筑面积55962平方米，共四栋，A、B栋25层单元式住宅，C、D栋22层单元式住宅，住宅层高3米、商 业层高6米。 绿地率31%，规划户数469户，车位数408个；项目规划有风情商 业街，设有2-3层底层商 业，将引进时尚精品商 业。
                  ",南,86.02㎡,https://hui.lianjia.com/ershoufang/105101039208.html
低楼层 (共5层),济南,93.57㎡,,满五年,匡山小区,15366yuan/m2,匡山区,2室2厅1厨1卫,暂无数据,槐荫,160w,简装,"
                    房龄新：祥和园为匡山小区南区2004年新建的独立大院，总共4栋楼，大部分为锅炉厂职工，有传达 租赁车位 环境好
户型合理：此房为两室两厅错层结构，进门客厅30多平方正朝南带窗户 独立餐厅   南北卧室，南卧室带阳台
                  ",南 北,104.13㎡,https://jn.lianjia.com/ershoufang/103101825310.html
中楼层 (共12层),济南,79.66㎡,,满五年,兴业嘉苑新天地,18207yuan/m2,七里河,2室2厅1厨1卫,暂无数据,历城,176w,精装,"
                    南北通透格局，两室两厅户型，一室朝南，客厅朝南，户型方正，一室朝北
                  ",南 北,96.67㎡,https://jn.lianjia.com/ershoufang/103101812311.html
中楼层 (共30层),重庆,139.25㎡,,满五年,加州城市花园,10835yuan/m2,嘉州,4室2厅1厨2卫,70年,渝北,173w,其他,"
                    加州城市花园标准四房 房东住家装修带家具家电出售
                  ",南 西南,159.67㎡,https://cq.lianjia.com/ershoufang/106100731336.html
高楼层 (共16层),济南,暂无数据,,满五年,舜景花园,16573yuan/m2,无影山,3室2厅1厨2卫,有,天桥,258w,精装,"
                    户型南北通透，全明户型，入户门左手边是厨房有窗户，两室朝阳，主卧室带阳台，有卫生间约六平米有北向窗户，南向次卧带南向窗户，北卧室有飘窗，厅卫约六平米北向，客厅带约7平阳台，餐客一体共计约38平
                  ",南 北,155.68㎡,https://jn.lianjia.com/ershoufang/103101802590.html
高楼层 (共30层),重庆,58.19㎡,,满两年,华竹小区,10173yuan/m2,南坪,2室2厅1厨1卫,50年,南岸,73w,简装,"
                                              ",东南,71.76㎡,https://cq.lianjia.com/ershoufang/106100670757.html
高楼层 (共31层),重庆,152.73㎡,,满五年,金科金砂水岸,12924yuan/m2,北滨路,4室3厅1厨3卫,50年,江北,229w,精装,"
                    北滨路 金科金砂水岸 正规四房 住家安静 正看江 满二
                  ",南,177.19㎡,https://cq.lianjia.com/ershoufang/106100586343.html
高楼层 (共7层),济南,32.66㎡,,满五年,同福小区,43140yuan/m2,大观园,1室1厅1厨1卫,暂无数据,市中,155w,简装,"
                    此房所在位置繁华，基础设施完善，医院、银行、超市、商场、公园、校园等都有，生活便利！
                  ",东,35.93㎡,https://jn.lianjia.com/ershoufang/103101471267.html
高楼层 (共26层),惠州,52.7㎡,,满两年,百惠园,9496yuan/m2,大亚湾区,2室2厅1厨1卫,70年,大亚湾,63w,其他,"
              ",北,66.35㎡,https://hui.lianjia.com/ershoufang/105101061056.html
中楼层 (共18层),重庆,105.7㎡,,满两年,龙湖观山水,12002yuan/m2,融侨半岛,3室2厅1厨2卫,50年,南岸,150w,其他,"
                    布局合理，中间楼层，前排无建筑，视野佳采光良好
                  ",南,124.98㎡,https://cq.lianjia.com/ershoufang/106100649312.html
低楼层 (共29层),惠州,87.62㎡,,满五年,公园道花园,10159yuan/m2,大亚湾区,3室2厅1厨1卫,70年,大亚湾,108w,其他,"
                    标准3房2厅2阳台 ，户型方正 ，南北通透！采光通风都很好 ！
                  ",北,106.32㎡,https://hui.lianjia.com/ershoufang/105101055305.html
低楼层 (共18层),大连,暂无数据,,满五年,大华御庭,17503yuan/m2,星海人家商圈,2室2厅1厨1卫,有,沙河口,169w,精装,"
                    南北通透 格局好 装修不错 公立幼儿园 空气好
                  ",南 北,96.56㎡,https://dl.lianjia.com/ershoufang/102089488321.html
中楼层 (共4层),重庆,175.05㎡,,满五年,龙州花园,7006yuan/m2,龙洲湾,4室2厅1厨2卫,50年,巴南,138w,毛坯,"
                    此套房子满两年，无增值税，大四房户型，视野开阔。
                  ",南,197㎡,https://cq.lianjia.com/ershoufang/106100702813.html
低楼层 (共33层),惠州,60.39㎡,,满五年,花样年别样城三期,13668yuan/m2,淡水,3室2厅1厨1卫,70年,惠阳,110w,毛坯,"
                    此房楼层好 视野开阔 采光充足 客厅主卧均看花园 居住品质高
                  ",东南,80.48㎡,https://hui.lianjia.com/ershoufang/105101018007.html
高楼层 (共30层),重庆,58.86㎡,,满五年,康德国会山,12321yuan/m2,南坪,2室2厅1厨1卫,50年,南岸,91w,其他,"
                    满两年，端户三飘窗采光好，中间楼层视野好赠家具家电。
                  ",南,73.86㎡,https://cq.lianjia.com/ershoufang/106100726929.html
高楼层 (共22层),惠州,暂无数据,,暂无数据,半岛1号五期,14630yuan/m2,淡水,3室2厅1厨2卫,70年,惠阳,158w,精装,"
                    业主自住的精装修，采用的材料都是健康环保的大品牌产品，家私家电都是知 名大品牌，电器设备齐全，可直接拎包入住。
                  ",南,108㎡,https://hui.lianjia.com/ershoufang/105101057163.html
中楼层 (共18层),惠州,73.8㎡,,满五年,恒安绿园,10113yuan/m2,大亚湾西区,2室2厅1厨1卫,70年,大亚湾,82w,其他,"
                    交通出行方便，往东就是澳头高速出入口，往西就是坑梓大道直接上深圳，往北就是惠州南站了 ，交通很是便捷。
                  ",南 北,81.09㎡,https://hui.lianjia.com/ershoufang/105101058702.html
低楼层 (共26层),重庆,56.73㎡,,满五年,同天观云邸,10358yuan/m2,二郎,2室2厅1厨1卫,50年,九龙坡,78w,精装,"
                    此房朝中庭，很安静。卧室有转角飘窗，两厅分离让您的生活井然有序
                  ",东南,75.31㎡,https://cq.lianjia.com/ershoufang/106100709863.html
低楼层 (共16层),重庆,135.21㎡,,满两年,雍江翠璟,19231yuan/m2,化龙桥,4室2厅1厨2卫,50年,渝中,300w,精装,"
                    雍江翠璟紧挨重庆天地人和xiaoxue，独享与自然的对话，共享重庆天地360万方滨江国际社区的生活繁华，是重庆天地系列中最安静宜居的小区！小区共7栋，1-3号楼为14层小高层，4号楼为16层小高层，5-7号楼为32层小高层。建筑面积11万平方米，总户数621，容积超低
                  ",东南,156㎡,https://cq.lianjia.com/ershoufang/106100727722.html
高楼层 (共11层),重庆,79.23㎡,,满五年,北国风光,11817yuan/m2,北滨路,2室2厅1厨1卫,50年,江北,107w,其他,"
                    业主全款证在手，朝南看江，视野开阔，交易方便
                  ",南,90.55㎡,https://cq.lianjia.com/ershoufang/106100353890.html
低楼层 (共28层),合肥,87.67㎡,,满两年,禹洲华侨城三期（荷园）,15733yuan/m2,染坊,3室2厅1厨1卫,70年,肥西,178w,简装,"
                    此房3+1户型，肥西产证，南北通透，港澳广场配套齐，交通便利
                  ",南 北,113.14㎡,https://hf.lianjia.com/ershoufang/103101628555.html
低楼层 (共7层),惠州,暂无数据,,满两年,听涛雅苑,11243yuan/m2,大亚湾中心区,2室1厅1厨1卫,70年,大亚湾,40w,简装,"
                    满五不唯一 红本在手 看房方便,
                  ",东南,35.58㎡,https://hui.lianjia.com/ershoufang/105100811567.html
高楼层 (共39层),重庆,130.86㎡,,满两年,重庆天地雍江御庭,17264yuan/m2,化龙桥,3室2厅1厨2卫,70年,渝中,280w,毛坯,"
                    小区安静位置，正规大三房，开发商原始户型，可改动!
                  ",西南,162.19㎡,https://cq.lianjia.com/ershoufang/106100633940.html
中楼层 (共7层),济南,61.23㎡,,满五年,黄屯小区三区,16779yuan/m2,长途汽车站,2室1厅1厨1卫,暂无数据,天桥,113w,简装,"
                    此房南北卧室中间客厅，客厅方正好用，中间楼层，南北通透，采光好视野宽阔。
                  ",南 北,67.35㎡,https://jn.lianjia.com/ershoufang/103101755567.html
低楼层 (共30层),惠州,99.38㎡,,满两年,中天彩虹城北区,11741yuan/m2,南站新城,3室2厅1厨2卫,70年,惠阳,142w,精装,"
                    此房是2009年的房，社区管理好，小区看着还是比较新的
格局是3房2厅2卫一阳台一入户花园，进门有个约5平方的入户，客厅和主卧朝南、次卧朝南、书房超西、主卧带套间
此房虽然楼层低，但是朝南有个12平方的阳台足够采光和在阳台小憩一会
                  ",南,120.95㎡,https://hui.lianjia.com/ershoufang/105100749665.html
中楼层 (共32层),重庆,60㎡,,满两年,融科金湖湾,14190yuan/m2,鸳鸯,2室1厅1厨2卫,50年,渝北,105w,精装,"
                                              ",南 北,74㎡,https://cq.lianjia.com/ershoufang/106100676199.html
中楼层 (共10层),惠州,74.46㎡,,满两年,东方新城,10073yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,90w,其他,"
                    此房满两年，看别墅去，采光通风好，中高楼层
                  ",东南,89.35㎡,https://hui.lianjia.com/ershoufang/105101030084.html
中楼层 (共30层),重庆,65.76㎡,,满两年,金悦城,11326yuan/m2,烈士墓,2室1厅1厨1卫,50年,沙坪坝,95w,精装,"
                                              ",东,83.88㎡,https://cq.lianjia.com/ershoufang/106100702749.html
中楼层 (共30层),重庆,83.09㎡,,满两年,康德国会山,11991yuan/m2,南坪,3室2厅1厨2卫,50年,南岸,120w,其他,"
                    此小区是2008年-2010年修建好的，分别是1-13栋一期，14-25栋二期，小区内有地下车位3006个，车位是在420外加80元的管理费，配套设施有游泳池，篮球场，羽毛球场等。
                  ",南,100.08㎡,https://cq.lianjia.com/ershoufang/106100682731.html
中楼层 (共6层),重庆,131.7㎡,,满两年,天江鼎城雅园,13103yuan/m2,龙头寺,3室2厅1厨2卫,50年,渝北,190w,毛坯,"
                    此房是位置安静，户型方正，楼层适中，南北通透，板式结构
                  ",南 北,145.01㎡,https://cq.lianjia.com/ershoufang/106100688422.html
中楼层 (共13层),惠州,37.28㎡,,满两年,华宇大厦,8076yuan/m2,南站新城,1室1厅1厨1卫,70年,惠阳,42w,简装,"
                    一房一厅一厨一卫，户型实用，厅开间大，可以做客厅，餐厅两个厅，卧室宽敞舒适
                  ",东,52.01㎡,https://hui.lianjia.com/ershoufang/105101036077.html
中楼层 (共30层),惠州,53.03㎡,,满两年,万祥豪苑,11859yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,80w,其他,"
                    该小区的物业管理深严，小区门口有保安，门禁。小区环境优雅，绿化好，小区里的花园比较安静温馨，有地下停车场。适合自住。小区里面绿化高，清洁又清净 而且入住率很高，旁边配套基本都齐全
                  ",南,67.46㎡,https://hui.lianjia.com/ershoufang/105101038139.html
中楼层 (共29层),惠州,115.76㎡,,满两年,中萃花城湾,12249yuan/m2,大亚湾西区,4室2厅1厨2卫,70年,大亚湾,169w,其他,"
                    此房满五唯一，红本在手，有钥匙，看房方便，赠送率高
                  ",南,137.98㎡,https://hui.lianjia.com/ershoufang/105100939466.html
低楼层 (共29层),惠州,95.27㎡,,满两年,翠堤尚园,9556yuan/m2,大亚湾区,3室2厅1厨2卫,70年,大亚湾,116w,其他,"
                    121的三房两厅，空间很大，居住起来很舒适 。朝南比较通透。通风很好
                  ",南,121.39㎡,https://hui.lianjia.com/ershoufang/105101038366.html
中楼层 (共25层),重庆,95.3㎡,,满两年,协信星都会,13086yuan/m2,照母山,3室2厅1厨2卫,50年,渝北,155w,精装,"
                    中间楼层，视野开阔，精装大三房， 拎包入住，方便快捷。
                  ",南,118.45㎡,https://cq.lianjia.com/ershoufang/106100682590.html
低楼层 (共34层),惠州,85.24㎡,,满五年,星河丹堤F区,16728yuan/m2,大亚湾西区,3室2厅1厨2卫,70年,大亚湾,175w,其他,"
                    小区近高铁站，2.6公里的路程，惠州南至深圳北26分 钟的时间。南有沿海高速澳头出口，北有深汕高速淡水出口。1公里内有龙海一路与龙海二路，后期与深圳南坪快速直通。目前小区有多条公交路线前往高铁站与各个主要生活中 心
                  ",南,104.62㎡,https://hui.lianjia.com/ershoufang/105101051065.html
高楼层 (共6层),大连,64.88㎡,,满五年,新星绿城二期,10281yuan/m2,辛寨子,2室1厅1厨1卫,暂无数据,甘井子,79.8w,精装,"
                  ",东 南 北,77.62㎡,https://dl.lianjia.com/ershoufang/102100431424.html
中楼层 (共25层),惠州,49.41㎡,,满两年,德丰天汇园,8513yuan/m2,大亚湾区,2室2厅1厨1卫,70年,大亚湾,52w,其他,"
                    门口就是广外附属外语学 校！满两年免增值税！带装修可直接入住！
                  ",南,61.09㎡,https://hui.lianjia.com/ershoufang/105101035915.html
高楼层 (共7层),大连,暂无数据,,满五年,绿山巷,10329yuan/m2,武昌街,3室1厅1厨1卫,暂无数据,中山,99w,简装,"
                    满五、南北通透通厅、视野宽阔、采光充足、无坡好位置
                  ",南 北,95.85㎡,https://dl.lianjia.com/ershoufang/102100373861.html
低楼层 (共32层),重庆,63.11㎡,,满两年,保利观澜,16998yuan/m2,海尔路,2室2厅1厨2卫,50年,江北,130w,毛坯,"
                    江北嘴保利观澜跃层设计  双层灵动空间  


                  ",东 北,76.48㎡,https://cq.lianjia.com/ershoufang/106100684198.html
低楼层 (共30层),大连,暂无数据,,满五年,壹品星海三期,19080yuan/m2,星海广场,2室2厅1厨1卫,有,沙河口,165w,简装,"
                                              ",南 西,86.48㎡,https://dl.lianjia.com/ershoufang/102100362784.html
高楼层 (共32层),重庆,94.69㎡,,满五年,鲁能星城十街区,13812yuan/m2,龙头寺,3室2厅1厨2卫,50年,江北,158w,毛坯,"
                    此房满五年不唯一，免增值税，一手业主证在手，清水三房带入户。
                  ",南 北,114.4㎡,https://cq.lianjia.com/ershoufang/106100685537.html
低楼层 (共31层),重庆,65.37㎡,,满两年,龙湖U城听蓝时光,9208yuan/m2,大学城,3室2厅1厨2卫,50年,沙坪坝,76w,毛坯,"
                    业主全款证在手，交易方便。带小区环境，配套齐全。
                  ",南,82.54㎡,https://cq.lianjia.com/ershoufang/106100677483.html
中楼层 (共29层),重庆,59.41㎡,,满两年,悠哉悠宅,10943yuan/m2,南桥寺,2室1厅1厨1卫,50年,江北,80w,简装,"
                    装修清爽的两房 业主诚心卖 看房方便有钥匙
                  ",北,73.11㎡,https://cq.lianjia.com/ershoufang/106100681262.html
中楼层 (共18层),重庆,141.19㎡,,满两年,凤凰湾驭府,11466yuan/m2,石马河,3室2厅1厨2卫,50年,江北,185w,精装,"
                    凤凰湾驭府精装修大平层，三房带衣帽间
                  ",东,161.36㎡,https://cq.lianjia.com/ershoufang/106100694486.html
中楼层 (共17层),重庆,55.49㎡,,满两年,东海岸,11968yuan/m2,大石坝,2室2厅1厨2卫,50年,江北,82w,精装,"
                    此房满二，无增值税，中间楼层，带使用权车位 ，业主诚心出售
                  ",南,68.52㎡,https://cq.lianjia.com/ershoufang/106100693017.html
高楼层 (共32层),重庆,74.33㎡,,满五年,麒麟公馆,14627yuan/m2,五里店,2室2厅1厨1卫,50年,江北,130w,精装,"
                                              ",北,88.88㎡,https://cq.lianjia.com/ershoufang/106100690583.html
低楼层 (共27层),珠海,暂无数据,,满五年,东方傲景峰,23884yuan/m2,吉大,4室2厅1厨2卫,70年,香洲区,490w,简装,"
                    这个房子是开发商自带的装修，原始格局没变动，东南向，适合住家，凸出看海景，
                  ",东,205.16㎡,https://zh.lianjia.com/ershoufang/ZH0002597309.html
高楼层 (共32层),重庆,54.34㎡,,满两年,大雅金开国际,12308yuan/m2,园博园,2室2厅1厨1卫,50年,渝北,87w,精装,"
                    房子满两年，属于商品房，居家装修新保养好，双轻轨
                  ",东南,70.69㎡,https://cq.lianjia.com/ershoufang/106100605899.html
中楼层 (共31层),重庆,66㎡,,满两年,半山华府,14781yuan/m2,观音桥,2室2厅1厨1卫,50年,江北,120w,精装,"
                    此房为半山华府里面的正规两室两厅，带阳台，朝中庭，中间楼层，视野开阔，采光效果好。
                  ",南,81.19㎡,https://cq.lianjia.com/ershoufang/106100611168.html
高楼层 (共28层),珠海,暂无数据,,满五年,海湾花园,22223yuan/m2,吉大,5室2厅1厨2卫,70年,香洲区,760w,精装,"
                    342平方的大户型，上下层打通，有5，6个大房间，差不多每个房间都设置了阳台。
                  ",南,342㎡,https://zh.lianjia.com/ershoufang/ZH0002930485.html
中楼层 (共8层),重庆,97.82㎡,,满两年,龙湖U城三组团,12555yuan/m2,大学城,3室2厅1厨2卫,50年,沙坪坝,138w,精装,"
                                              ",西南,109.92㎡,https://cq.lianjia.com/ershoufang/106100576657.html
低楼层 (共30层),重庆,36.81㎡,,满五年,半山华府,13023yuan/m2,观音桥,1室1厅1厨1卫,50年,江北,62w,精装,"
                    房子朝南看小区，采光好，无暗间，户型方正，带很大一个阳.
                  ",南,47.61㎡,https://cq.lianjia.com/ershoufang/106100510735.html
低楼层 (共33层),重庆,暂无数据,,满两年,万友七季城C区,12268yuan/m2,六公里,3室2厅1厨2卫,50年,南岸,120w,其他,"
                                              ",东南,97.82㎡,https://cq.lianjia.com/ershoufang/106100738286.html
中楼层 (共34层),重庆,51.51㎡,,满五年,大城小爱,11456yuan/m2,石桥铺,2室1厅1厨1卫,50年,九龙坡,75w,简装,"
                                              ",南,65.47㎡,https://cq.lianjia.com/ershoufang/106100524071.html
高楼层 (共18层),重庆,暂无数据,,满两年,金科廊桥水乡D区,7682yuan/m2,大学城,2室2厅1厨1卫,50年,沙坪坝,53w,毛坯,"
                    业主全款证在手， 已满两年，诚心卖
                  ",东南,69㎡,https://cq.lianjia.com/ershoufang/106100653563.html
低楼层 (共18层),重庆,62.13㎡,,满两年,金科廊桥水乡E区,6757yuan/m2,大学城,2室2厅1厨1卫,50年,沙坪坝,50w,毛坯,"
                    此房采光好，视野广，配套齐全，交通便利
                  ",东南,74㎡,https://cq.lianjia.com/ershoufang/106100614078.html
低楼层 (共33层),重庆,暂无数据,,满五年,奥林匹克花园红城,11722yuan/m2,汽博中心,3室2厅1厨2卫,50年,渝北,143w,简装,"
                    此房满五年不唯一，三梯五户大平层，超大阳台，看小区中庭
                  ",南,122㎡,https://cq.lianjia.com/ershoufang/106100669587.html
低楼层 (共46层),珠海,145.82㎡,,满五年,金域蓝湾,36901yuan/m2,老香洲,7室4厅1厨4卫,70年,香洲区,700w,精装,"
                    周边配套；扬名广场，KFC，中山大学，香洲百货，歌剧院，野狸岛，吉之岛。
                  ",东 西,189.7㎡,https://zh.lianjia.com/ershoufang/ZH0002933941.html
